"","Culm_diameter","Culm_length","Culm_number","Grain_length","Grain_width","Grain_weight","Heading_date","Ligule_length","Leaf_length","Leaf_width","Panicle_length","Seedling_height"
"IRIS_313.8783",5,147,16,8.7,3.1,2.9,102,25,72,1.1,29,54
"IRIS_313.11821",6,150,27,7.1,3.3,2.1,123,20,73,1.5,27,45
"IRIS_313.10565",5,144,20,9.8,2.9,2.8,118,15,65,1.5,32,27
"IRIS_313.10550",6,130,20,9.7,2.8,2.7,118,15,65,1.6,33,26
"IRIS_313.10566",5,114,25,9.4,3.1,2.7,127,16,52,1.3,29,36
"IRIS_313.10564",4,93,15,7.4,3.4,2.4,84,18,56,1.3,23,38
"IRIS_313.10298",5.4,75,15,9.6,2.5,1.1,92,17,40.6,1,26.6,32
"IRIS_313.11036",5,108,20,9.4,2.9,2.9,78,21,58,1.5,23,28
"IRIS_313.11586",4,54,12,8.2,3.7,3.1,75,7,30,1,16,13
"IRIS_313.11037",4,103,20,8,2.8,2.1,78,17,40,1.1,23,28
"IRIS_313.11202",3,71,12,8,3.7,2.9,80,15,40,1.1,21,21
"IRIS_313.8450",5,131,30,9.8,2.8,2.8,116,24,73,1.2,25,19
"IRIS_313.8872",5,108,15,9.9,3.3,2.9,122,17,67,2,33,27
"IRIS_313.8399",3,45,13,8,2.9,2.4,72,9,28,0.9,17,25
"IRIS_313.10711",6,116,8,9.3,3.2,3.1,95,22,82,1.9,29,24
"IRIS_313.9438",3,74,18,7.9,3.4,2.3,64,8,52,1.1,22,39
"IRIS_313.11246",3,55,17,8,3.3,2.2,65,13,38,0.9,18,33
"IRIS_313.11806",4,67,20,8.1,3.1,2.2,84,14,40,1.2,21,35
"IRIS_313.9140",5,58,14,8.2,3.5,2.9,80,13,31,1.2,21,25
"IRIS_313.11661",3,62,12,8.9,3.4,3.6,62,9,32,1,17,42
"IRIS_313.11755",5,93,14,9.4,3.4,2.9,102,7,48,1.7,30,37
"IRIS_313.11406",5,134,18,10.1,3.2,3.4,119,18,62,1.2,22,53
"IRIS_313.11510",4,80,15,10,3.3,3.1,110,14,40,1.1,26,32
"IRIS_313.8606",5,125,20,8.4,2.9,2.1,140,20,61,1.7,27,41
"IRIS_313.11152",4,117,11,7.2,3.1,2.3,82,18,50,1.1,24,61
"IRIS_313.11585",4,65,24,7.2,3.4,2.2,66,9,30,1.1,18,24
"IRIS_313.11523",6,136,18,7.6,2.6,2,147,18,65,1.5,26,61
"IRIS_313.11252",7.4,125,13,8,3.4,3.1,154,32,68.2,1.2,24.4,58
"IRIS_313.10527",5,113,20,7.6,3,1.9,83,20,67,1.1,30,23
"IRIS_313.10519",6,132,30,7.1,2.7,2.9,151,28,83,1.4,26,17
"IRIS_313.11403",5,123,15,9.6,3.1,2.5,112,24,62,1.3,24,59
"IRIS_313.10758",5,140,12,9.5,3.9,2.8,77,16,50,1.6,24,61
"IRIS_313.8922",6,140,12,8.7,2.9,2.3,134,28,82,1.9,31,25
"IRIS_313.9685",6.3,145,18,8.5,2.7,2.2,159,30,63,1.6,28,61
"IRIS_313.9423",5.8,107,8,7.5,3.6,3.1,83,10,39.8,1.7,26.4,41
"IRIS_313.11876",5,93,22,9.2,2.8,2.5,65,12,57,1.1,22,46
"IRIS_313.11744",4,92,23,8.9,2.9,2.4,80,20,44,1,19,48
"IRIS_313.11038",4,52,22,9,3.2,2.6,62,16,26,1.4,22,22
"IRIS_313.9723",4,132,16,8,3,2.3,96,21,60,1.1,26,57
"IRIS_313.10567",5,56,15,7.5,3.5,2.7,93,11,41,1,21,24
"IRIS_313.10610",6,105,20,8.3,3.5,2.3,115,20,60,1.3,27,28
"IRIS_313.11330",4,122,16,10.3,3.1,3.3,124,19,62,1.4,33,62
"IRIS_313.10257",5.5,82,17,9.5,2.6,2.7,100,15,38,1.1,24.2,27
"IRIS_313.9814",3,27,15,8.7,3.8,3.2,88,8,26,0.7,17,26
"IRIS_313.11377",6.5,134,21,7,3.3,2.2,101,20,59.6,1.2,29.8,44
"IRIS_313.10509",6,149,30,8.1,2.6,1.4,134,25,70,1.3,31,38
"IRIS_313.11754",5,130,18,9.8,3.1,2.8,104,17,53,1.3,24,46
"IRIS_313.10247",5.5,65,14,9.7,2.6,2.6,89,20,40.6,1.1,27.2,33
"IRIS_313.11745",5,97,21,8.1,3.1,1.9,72,16,42,1.6,20,58
"IRIS_313.11877",5,106,16,9.5,2.9,2.3,72,25,57,1.4,23,52
"IRIS_313.11624",4,91,16,8.9,3,2.9,80,22,43,1,25,60
"IRIS_313.10706",5,145,23,8,3.1,2.3,158,19,52,1.2,30,25
"IRIS_313.11126",5,139,12,7.9,3.3,2.2,104,17,58,1.2,26,33
"IRIS_313.10738",5,146,10,7.4,3.2,2.6,106,24,74,2.1,34,35
"IRIS_313.10759",5,94,13,9.6,3.3,2.7,127,20,61,1.2,33,50
"IRIS_313.11495",4,111,13,8.7,3.4,3.1,89,14,50,1.2,25,26
"IRIS_313.10898",4,132,12,8.3,2.6,1.9,139,24,59,1.2,29,28
"IRIS_313.11405",5,117,23,7.8,2.8,2,128,21,65,1.1,27,57
"IRIS_313.11493",5,73,20,7.8,3.2,2.3,98,14,48,1.4,21,54
"IRIS_313.8791",5,143,15,8.6,2.7,1.8,120,28,59,1.5,25,51
"IRIS_313.10289",5.7,81,25,9.4,2.6,2.4,96,24,45,1.2,25.6,37
"IRIS_313.10853",5,125,7,8.2,3.9,2.7,86,19,58,1.9,32,39
"IRIS_313.9137",6,120,9,7.3,2.8,1.6,68,22,58,1.9,28,34
"IRIS_313.11292",5,121,18,8.5,2.8,2,96,19,49,1.6,24,47
"IRIS_313.10854",5,133,10,9,2.8,2.3,70,26,59,1.8,30,49
"IRIS_313.10855",5,135,15,9,3.1,2.5,126,26,64,1.2,30,40
"IRIS_313.10670",4,124,20,8.5,2.6,2.2,111,16,53,1.1,28,38
"IRIS_313.8813",5,150,18,8,3.2,2.3,91,29,62,1.1,30,34
"IRIS_313.10856",4,140,16,7.9,3.3,2.5,130,21,70,1.7,26,48
"IRIS_313.10671",4,137,16,8.7,2.8,2,83,21,66,1.4,31,66
"IRIS_313.9609",5,135,17,8,2.5,2.6,82,23,78,1.4,29,40
"IRIS_313.8986",3,92,24,8.8,2.5,2.3,82,16,58,1,26,50
"IRIS_313.9313",5,123,13,8.3,3.1,2.6,76,16,57,1.2,26,47
"IRIS_313.8386",4,146,19,9,3,2.6,102,24,78,1.4,28,47
"IRIS_313.10857",4,121,21,10.3,2,2.5,86,17,55,1,28,51
"IRIS_313.10673",4,103,24,7.7,2.8,2.3,69,16,46,1,23,43
"IRIS_313.10674",4,119,16,8.6,2.9,3,98,20,56,1.4,26,40
"IRIS_313.10858",4,140,18,9.1,2.9,2.1,86,16,70,1.4,30,46
"IRIS_313.10675",4,118,15,8.7,2.8,2.7,76,16,56,1.2,26,52
"IRIS_313.10676",4,127,19,9.5,3.1,3.1,76,18,60,1.1,27,47
"IRIS_313.10859",5,103,18,7.6,2.4,1.6,81,22,57,1.6,27,43
"IRIS_313.11293",4,120,18,8.4,3.4,2.4,116,19,52,1.4,26,54
"IRIS_313.11294",5,134,20,8.5,2.4,1.7,117,25,62,1.2,27,54
"IRIS_313.10861",5,124,9,8.1,3.3,2.4,68,21,59,2.3,28,46
"IRIS_313.10862",5,117,9,8.2,3.5,2.2,81,17,60,1.8,28,43
"IRIS_313.10863",5,160,13,8.7,3.1,2.6,126,21,70,1.5,32,50
"IRIS_313.10864",5,105,19,7.7,3.6,2.6,83,13,61,1.4,25,57
"IRIS_313.9176",5,131,10,7.3,3.5,2.4,81,19,66,1.8,30,46
